"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 20 10:58:47 EEST 2019","Thu Jun 20 10:58:49 EEST 2019","2268","","TODO:","","TODO:","create quickly task","create quickly task",""
"passed","Thu Jun 20 10:58:40 EEST 2019","Thu Jun 20 10:58:46 EEST 2019","6040","","TODO:","","TODO:","create task in project","create task in project",""
"passed","Thu Jun 20 10:58:46 EEST 2019","Thu Jun 20 10:58:47 EEST 2019","566","","TODO:","","TODO:","delete new project with API","delete new project with API",""
